"开始","结束","持续时间","日开始时间","日结束时间"
"2019/6/6","2019/6/6","9.11 h","13:57","23:04"
"2019/6/7","2019/6/7","13.46 h","8:51","22:19"
"2019/6/8","2019/6/8","6.60 h","16:30","23:06"
"2019/6/9","2019/6/9","13.67 h","9:01","22:41"
"2019/6/10","2019/6/10","14.94 h","7:53","22:49"
"2019/6/11","2019/6/11","12.57 h","9:51","22:25"
"2019/6/12","2019/6/12","14.58 h","8:10","22:45"
"2019/6/13","2019/6/13","13.44 h","8:58","22:24"
"2019/6/14","2019/6/14","13.60 h","9:50","23:26"
"2019/6/15","2019/6/15","8.58 h","13:54","22:29"
"2019/6/16","2019/6/16","14.24 h","8:38","22:52"
"2019/6/17","2019/6/17","14.65 h","7:59","22:38"
"2019/6/18","2019/6/18","14.04 h","8:13","22:15"
"2019/6/19","2019/6/19","14.81 h","7:41","22:29"
"2019/6/20","2019/6/20","12.77 h","9:29","22:15"
"2019/6/21","2019/6/21","12.64 h","9:44","22:22"
"2019/6/22","2019/6/22","7.80 h","14:37","22:25"
"2019/6/23","2019/6/23","5.12 h","17:13","22:21"
"2019/6/24","2019/6/24","13.53 h","9:27","22:58"
"2019/6/25","2019/6/25","15.25 h","7:48","23:03"
"2019/6/26","2019/6/26","15.21 h","7:50","23:03"
"2019/6/27","2019/6/27","15.17 h","7:47","22:57"
"2019/6/28","2019/6/28","13.19 h","10:09","23:20"
"2019/6/29","2019/6/29","8.69 h","13:54","22:36"
"2019/6/30","2019/6/30","7.90 h","14:25","22:19"
"2019/7/1","2019/7/1","12.87 h","9:05","21:57"
"2019/7/2","2019/7/2","14.38 h","8:11","22:34"
"2019/7/3","2019/7/3","13.68 h","8:59","22:40"
"2019/7/4","2019/7/4","8.17 h","14:22","22:33"
"2019/7/5","2019/7/5","14.42 h","8:21","22:46"
"2019/7/6","2019/7/6","14.65 h","8:04","22:43"
"2019/7/7","2019/7/7","13.65 h","9:59","23:38"
"2019/7/8","2019/7/8","3.49 h","8:54","12:23"
"2019/7/9","2019/7/9","8.47 h","14:55","23:23"
"2019/7/10","2019/7/10","12.00 h","10:48","22:48"
"2019/7/11","2019/7/11","14.20 h","8:52","23:05"
"2019/7/12","2019/7/12","14.31 h","8:06","22:24"
"2019/7/13","2019/7/13","15.88 h","8:07","0:00"
"2019/7/14","2019/7/14","23.51 h","0:00","23:30"
"2019/7/15","2019/7/15","13.45 h","9:03","22:30"
"2019/7/16","2019/7/16","14.19 h","8:18","22:30"
"2019/7/17","2019/7/17","14.63 h","8:14","22:51"
"2019/7/18","2019/7/18","14.56 h","8:14","22:47"
"2019/7/19","2019/7/19","6.84 h","9:13","16:03"
"2019/7/20","2019/7/20","14.28 h","7:13","21:30"
"2019/7/21","2019/7/21","6.77 h","17:13","0:00"
"2019/7/22","2019/7/22","22.94 h","0:00","22:56"
"2019/7/23","2019/7/23","13.95 h","8:03","22:00"
"2019/7/24","2019/7/24","15.23 h","7:34","22:48"
"2019/7/25","2019/7/25","13.98 h","7:51","21:50"
"2019/7/26","2019/7/26","13.25 h","7:27","20:42"
"2019/7/27","2019/7/27","13.55 h","7:36","21:09"
"2019/7/28","2019/7/28","13.42 h","8:19","21:45"
"2019/7/29","2019/7/29","13.72 h","7:18","21:01"
"2019/7/30","2019/7/30","14.62 h","7:23","22:00"
"2019/7/31","2019/7/31","13.06 h","9:03","22:07"
"2019/8/1","2019/8/1","6.18 h","15:46","21:57"
"2019/8/2","2019/8/2","12.57 h","7:49","20:23"
"2019/8/3","2019/8/3","1.72 h","18:07","19:51"
"2019/8/4","2019/8/4","12.68 h","7:17","19:58"
"2019/8/5","2019/8/5","1.60 h","21:02","22:38"
"2019/8/6","2019/8/6","9.61 h","14:23","0:00"
"2019/8/7","2019/8/7","22.99 h","0:00","22:59"
"2019/8/8","2019/8/8","14.17 h","9:01","23:12"
"2019/8/9","2019/8/9","12.94 h","8:21","21:18"
"2019/8/10","2019/8/10","14.65 h","8:02","22:41"
"2019/8/11","2019/8/11","13.50 h","9:02","22:32"
"2019/8/12","2019/8/12","12.47 h","9:22","21:51"
"2019/8/13","2019/8/13","13.18 h","8:38","21:49"
"2019/8/14","2019/8/14","12.92 h","9:32","22:28"
"2019/8/15","2019/8/15","11.51 h","9:38","21:08"
"2019/8/16","2019/8/16","13.89 h","9:03","22:56"
"2019/8/17","2019/8/17","2.09 h","9:15","11:20"
"","合计","2171.49 h","",""
"","平均值","12.70 h","9:38","22:07"
"","最小值","0.03 h","7:13","9:55"
"","最大值","23.51 h","21:02","0:00"
